id,agent,time,score

1,0,13,-500

2,3,10,-1000

3,3,10,-500

4,3,11,-500

5,3,45,1600

6,3,15,-500

7,3,19,-600

8,3,2,-1000

9,3,10,-500

10,3,6,-500

11,3,42,1500

12,3,17,-500

13,3,29,100

14,3,17,-1000

15,3,30,-100

16,3,19,-600

17,3,22,-300

18,3,16,-500

19,3,20,-300

20,3,24,-300

21,3,37,700

22,3,32,500

23,3,15,-500

24,3,21,-800

25,3,7,-500

26,3,19,-800

27,3,17,-500

28,3,15,-1000

29,3,35,700

30,3,30,-200

31,3,18,-500

32,3,31,500

33,3,13,-1000

34,3,10,-1000

35,3,9,-1000

36,3,18,-1000

37,3,25,-400

38,3,66,2700

39,3,32,500

40,3,26,300

41,3,16,-300

42,3,51,1400

43,3,23,-600

44,3,11,-1000

45,3,21,-100

46,3,18,-800

47,3,53,1200

48,3,14,-1000

49,3,3,-1000

50,3,4,-1000

51,3,17,-1000

52,3,17,-500

53,3,20,-300

54,3,1,-1000

55,3,51,1900

56,3,4,-1000

57,3,55,2300

58,3,89,4900

59,3,45,1900

60,3,36,0

61,3,16,-500

62,3,18,-1000

63,3,24,-300

64,3,23,-100

65,3,81,3800

66,3,16,-1000

67,3,3,-500

68,3,22,-300

69,3,20,-100

70,3,21,-800

71,3,18,-1000

72,3,8,-500

73,3,57,1200

74,3,14,-500

75,3,19,-500

76,3,23,-300

77,3,33,-400

78,3,46,1100

79,3,17,-1000

80,3,6,-1000

81,3,2,-500

82,3,12,-1000

83,3,17,-800

84,3,26,-300

85,3,69,2700

86,3,6,-1000

87,3,22,-1000

88,3,14,-500

89,3,9,-500

90,3,21,-500

91,3,21,-800

92,3,9,-1000

93,3,19,-500

94,3,22,-500

95,3,30,300

96,3,30,500

97,3,18,-1000

98,3,19,-1000

99,3,1,-1000

100,3,11,-1000

101,3,15,-500

102,3,17,-500

103,3,20,-1000

104,3,45,1100

105,3,20,-1000

106,3,20,-1000

107,3,20,-100

108,3,36,700

109,3,21,-500

110,3,19,-800

111,3,25,100

112,3,17,-1000

113,3,17,-500

114,3,17,-300

115,3,22,100

116,3,15,-1000

117,3,7,-1000

118,3,29,-100

119,3,12,-1000

120,3,16,-500

121,3,23,-1000

122,3,19,-1000

123,3,17,-500

124,3,22,-100

125,3,19,-300

126,3,21,-300

127,3,19,-1000

128,3,41,600

129,3,15,-500

130,3,26,100

131,3,29,200

132,3,4,-500

133,3,21,-200

134,3,5,-500

135,3,35,500

136,3,20,-500

137,3,20,-300

138,3,16,-1000

139,3,1,-1000

140,3,15,-1000

141,3,62,2300

142,3,39,800

143,3,7,-1000

144,3,17,-1000

145,3,33,-400

146,3,13,-500

147,3,29,400

148,3,21,-100

149,3,19,-1000

150,3,1,-1000

151,3,54,2100

152,3,3,-1000

153,3,2,-500

154,3,19,-300

155,3,25,-500

156,3,22,-300

157,3,40,900

158,3,39,1500

159,3,15,-500

160,3,33,1100

161,3,25,-300

162,3,20,-800

163,3,32,-400

164,3,14,-500

165,3,28,-400

166,3,8,-1000

167,3,19,-600

168,3,56,2100

169,3,1,-1000

170,3,7,-500

171,3,24,-300

172,3,41,600

173,3,61,2600

174,3,24,-800

175,3,38,700

176,3,5,-1000

177,3,12,-1000

178,3,10,-500

179,3,13,-500

180,3,6,-1000

181,3,26,-600

182,3,14,-1000

183,3,17,-500

184,3,46,1000

185,3,21,-400

186,3,17,-1000

187,3,5,-1000

188,3,10,-1000

189,3,39,1500

190,3,20,-400

191,3,1,-500

192,3,22,-1000

193,3,22,-300

194,3,27,-800

195,3,19,-1000

196,3,19,-800

197,3,23,-200

198,3,29,100

199,3,19,-500

200,3,23,-600

201,3,20,-400

202,3,54,1600

203,3,27,-300

204,3,27,-400

205,3,40,1100

206,3,55,800

207,3,26,-600

208,3,20,-500

209,3,3,-1000

210,3,19,-300

211,3,17,-1000

212,3,2,-1000

213,3,8,-1000

214,3,73,2400

215,3,28,0

216,3,16,-300

217,3,20,-1000

218,3,21,-300

219,3,23,-200

220,3,19,-100

221,3,39,1300

222,3,18,-300

223,3,31,300

224,3,16,-1000

225,3,18,-500

226,3,52,2100

227,3,9,-1000

228,3,14,-1000

229,3,28,0

230,3,12,-1000

231,3,19,-500

232,3,63,1800

233,3,6,-1000

234,3,17,-1000

235,3,35,200

236,3,15,-500

237,3,18,-800

238,3,21,-1000

239,3,16,-1000

240,3,21,-300

241,3,19,-1000

242,3,16,-300

243,3,9,-1000

244,3,14,-1000

245,3,19,-500

246,3,14,-1000

247,3,17,-1000

248,3,46,1700

249,3,46,1900

250,3,80,3900

251,3,17,-1000

252,3,69,3300

253,3,44,1300

254,3,6,-1000

255,3,17,-300

256,3,24,-600

257,3,25,-100

258,3,20,-600

259,3,27,-100

260,3,55,2100

261,3,7,-500

262,3,13,-1000

263,3,7,-500

264,3,12,-1000

265,3,21,-1000

266,3,12,-500

267,3,20,-500

268,3,21,-800

269,3,18,-300

270,3,22,-300

271,3,22,-600

272,3,13,-500

273,3,18,-300

274,3,19,-300

275,3,39,0

276,3,17,-500

277,3,16,-1000

278,3,19,-600

279,3,5,-500

280,3,29,-400

281,3,30,-100

282,3,9,-500

283,3,16,-500

284,3,28,900

285,3,23,-100

286,3,3,-1000

287,3,13,-1000

288,3,18,-100

289,3,3,-500

290,3,21,-800

291,3,22,-300

292,3,22,-800

293,3,10,-1000

294,3,13,-500

295,3,26,-100

296,3,14,-500

297,3,17,-300

298,3,26,-300

299,3,13,-500

300,3,0,-1000

301,3,19,-300

302,3,62,1800

303,3,45,600

304,3,10,-1000

305,3,20,-800

306,3,17,-300

307,3,17,-1000

308,3,4,-1000

309,3,36,200

310,3,40,1300

311,3,13,-500

312,3,23,-500

313,3,36,1100

314,3,27,-200

315,3,21,-400

316,3,23,-800

317,3,49,1000

318,3,33,100

319,3,4,-1000

320,3,31,-400

321,3,42,600

322,3,18,-1000

323,3,17,-300

324,3,41,600

325,3,17,-800

326,3,21,-800

327,3,50,1400

328,3,6,-500

329,3,45,1200

330,3,35,0

331,3,37,700

332,3,15,-500

333,3,15,-500

334,3,17,-800

335,3,31,100

336,3,17,-1000

337,3,41,600

338,3,18,-300

339,3,7,-500

340,3,26,-200

341,3,21,-200

342,3,24,-1000

343,3,22,-800

344,3,47,1500

345,3,14,-500

346,3,17,-800

347,3,19,-500

348,3,20,-100

349,3,39,1300

350,3,20,-1000

351,3,18,-300

352,3,8,-1000

353,3,18,-1000

354,3,8,-500

355,3,19,-800

356,3,38,600

357,3,18,-800

358,3,16,-500

359,3,31,500

360,3,15,-500

361,3,29,700

362,3,17,-1000

363,3,21,-100

364,3,13,-500

365,3,25,100

366,3,24,-200

367,3,18,-800

368,3,19,-1000

369,3,14,-500

370,3,18,-500

371,3,12,-500

372,3,57,2300

373,3,25,-100

374,3,25,100

375,3,23,-100

376,3,25,-400

377,3,22,100

378,3,4,-1000

379,3,58,2100

380,3,13,-1000

381,3,12,-1000

382,3,7,-500

383,3,23,-600

384,3,25,-600

385,3,14,-1000

386,3,13,-1000

387,3,78,3200

388,3,22,-500

389,3,16,-300

390,3,5,-500

391,3,17,-300

