id,agent,time,score
1,3,15,-300
2,3,12,-500
3,3,53,1900
4,3,15,-1000
5,3,1,-500
6,3,25,-100
7,3,29,200
8,3,12,-500
9,3,30,-200
10,3,41,800
11,3,9,-500
12,3,33,-200
13,3,54,1400
14,3,19,-300
15,3,13,-500
16,3,11,-500
17,3,16,-800
18,3,18,-500
19,3,51,1200
20,3,45,1200
21,3,24,-200
22,3,17,-500
23,3,26,100
24,3,19,-300
25,3,24,-600
26,3,14,-500
27,3,19,-500
28,3,15,-500
29,3,21,-300
30,3,44,1700
31,3,33,-400
32,3,21,-800
33,3,22,-100
34,3,19,-600
35,3,17,-1000
36,3,9,-1000
37,3,5,-500
38,3,41,1200
39,3,47,1200
40,3,21,-600
41,3,15,-1000
42,3,7,-1000
43,3,23,-100
44,3,58,1800
45,3,20,-800
46,3,17,-300
47,3,18,-500
48,3,9,-1000
49,3,71,2600
50,3,13,-500
51,3,24,-800
52,3,33,900
53,3,10,-500
54,3,45,1000
55,3,16,-300
56,3,19,-800
57,3,26,-600
58,3,33,0
59,3,20,-800
60,3,22,-600
61,3,22,-800
62,3,52,1700
63,3,14,-1000
64,3,17,-300
65,3,26,-400
66,3,24,-100
67,3,16,-500
68,3,37,1100
69,3,11,-1000
70,3,4,-1000
71,3,29,500
72,3,21,-100
73,3,16,-1000
74,3,30,500
75,3,25,100
76,3,4,-500
77,3,23,-100
78,3,20,-300
79,3,5,-1000
80,3,34,1100
81,3,20,-300
82,3,23,-500
83,3,12,-500
84,3,6,-500
85,3,34,0
86,3,10,-1000
87,3,23,-100
88,3,15,-500
89,3,15,-500
90,3,18,-500
91,3,14,-500
92,3,38,800
93,3,25,-400
94,3,16,-1000
95,3,9,-500
96,3,45,1700
97,3,8,-500
98,3,20,-800
99,3,38,1100
100,3,15,-1000
101,3,30,-200
102,3,7,-500
103,3,16,-1000
104,3,20,-300
105,3,19,-1000
106,3,22,-300
107,3,20,-1000
108,3,10,-500
109,3,18,-1000
110,3,14,-500
111,3,4,-1000
112,3,16,-1000
113,3,14,-1000
114,3,12,-500
115,3,19,-1000
116,3,17,-500
117,3,8,-500
118,3,10,-500
119,3,4,-500
120,3,21,100
121,3,21,-500
122,3,18,-300
123,3,7,-500
124,3,25,-600
