id,agent,time,score
1,2,22,-1000
2,2,7,-500
3,2,25,-500
4,2,14,-1000
5,2,19,-1000
6,2,20,-500
7,2,33,200
8,2,46,1200
9,2,31,300
10,2,22,-1000
11,2,28,-100
12,2,20,-500
13,2,41,800
14,2,23,-300
15,2,17,-500
16,2,23,-600
17,2,25,-400
18,2,18,-1000
19,2,21,-300
20,2,3,-500
21,2,24,-600
22,2,39,1300
23,2,15,-300
24,2,21,-1000
25,2,17,-1000
26,2,11,-500
27,2,34,900
28,2,22,-800
29,2,9,-500
30,2,20,-800
31,2,6,-1000
32,2,20,-1000
33,2,16,-500
34,2,25,-800
35,2,14,-500
36,2,46,2300
37,2,19,-500
38,2,6,-500
39,2,17,-1000
40,2,17,-300
41,2,33,-400
42,2,7,-1000
43,2,14,-1000
44,2,18,-1000
45,2,22,-400
46,2,15,-500
47,2,23,0
48,2,17,-300
49,2,37,900
50,2,11,-1000
51,2,37,600
52,2,2,-500
53,2,15,-500
54,2,14,-1000
55,2,24,-1000
56,2,25,-800
57,2,20,-100
58,2,38,800
59,2,33,500
60,2,16,-500
61,2,83,3600
62,2,20,-800
63,2,26,-100
64,2,32,500
65,2,29,300
66,2,32,200
67,2,47,1200
68,2,18,-1000
69,2,12,-500
70,2,19,-600
71,2,20,-1000
72,2,49,600
73,2,19,-500
74,2,28,-400
75,2,37,-400
76,2,19,-800
77,2,5,-1000
78,2,17,-500
79,2,5,-500
80,2,19,-600
81,2,36,1100
82,2,30,0
83,2,19,-600
84,2,12,-500
85,2,19,-1000
86,2,24,-400
87,2,34,1100
88,2,21,-600
89,2,30,-100
90,2,1,-500
91,2,22,-400
92,2,14,-500
93,2,12,-500
94,2,14,-300
95,2,2,-500
96,2,34,700
97,2,31,0
98,2,24,-100
99,2,49,1600
100,2,64,2000
101,2,19,-500
102,2,19,-500
103,2,29,700
104,2,16,-500
105,2,42,1100
106,2,14,-500
107,2,43,1100
108,2,8,-500
109,2,6,-500
110,2,33,900
111,2,16,-500
112,2,20,-800
113,2,24,-400
114,2,15,-1000
115,2,15,-1000
116,2,16,-1000
117,2,11,-1000
118,2,54,2500
119,2,49,1200
120,2,27,-200
121,2,1,-1000
122,2,22,-300
123,2,18,-1000
124,2,12,-500
125,2,21,-800
126,2,8,-1000
127,2,20,-500
128,2,18,-500
129,2,24,-400
130,2,21,-300
131,2,27,-400
132,2,26,-400
133,2,11,-500
134,2,24,100
135,2,11,-1000
136,2,9,-500
137,2,21,-100
138,2,34,200
139,2,20,-300
140,2,18,-1000
141,2,23,-600
142,2,6,-500
143,2,24,-800
144,2,15,-1000
145,2,20,-300
146,2,21,-300
147,2,30,900
148,2,6,-500
149,2,16,-500
150,2,8,-500
151,2,31,500
152,2,16,-1000
153,2,8,-500
154,2,12,-1000
155,2,35,0
156,2,5,-1000
157,2,15,-500
158,2,18,-600
159,2,6,-500
160,2,22,-800
161,2,24,-100
162,2,11,-500
163,2,17,-300
164,2,50,1700
165,2,28,300
166,2,15,-1000
167,2,7,-500
168,2,28,-200
169,2,47,1200
170,2,30,0
171,2,11,-500
172,2,9,-500
173,2,16,-800
174,2,15,-1000
175,2,2,-1000
176,2,8,-1000
177,2,25,-600
178,2,8,-500
179,2,29,-400
180,2,18,-500
181,2,49,1500
182,2,28,300
183,2,11,-1000
184,2,13,-1000
185,2,20,-1000
186,2,29,-500
187,2,27,300
188,2,58,1600
189,2,11,-500
190,2,22,-400
191,2,13,-1000
192,2,4,-1000
193,2,10,-500
194,2,7,-500
195,2,20,-300
196,2,43,200
197,2,25,100
198,2,32,300
199,2,24,700
200,2,16,-1000
201,2,23,-800
202,2,20,-100
203,2,22,-800
204,2,14,-1000
205,2,14,-1000
206,2,40,1300
207,2,14,-1000
208,2,24,-800
209,2,28,100
210,2,56,1600
211,2,38,400
212,2,20,-800
213,2,22,-400
214,2,45,1500
215,2,18,-300
216,2,18,-500
217,2,15,-1000
218,2,6,-500
219,2,31,300
220,2,10,-1000
221,2,14,-500
222,2,57,1900
223,2,43,1300
224,2,1,-500
225,2,15,-500
226,2,24,-800
227,2,84,4100
228,2,21,-1000
229,2,48,1700
230,2,4,-500
231,2,10,-500
232,2,17,-1000
233,2,6,-1000
234,2,13,-500
235,2,16,-1000
236,2,19,-500
237,2,19,-800
238,2,18,-1000
239,2,66,2700
240,2,54,2100
241,2,48,1700
242,2,33,500
243,2,34,400
244,2,65,2600
245,2,18,-800
246,2,54,2100
247,2,22,-300
248,2,3,-1000
249,2,7,-500
250,2,39,700
251,2,21,-300
252,2,75,3600
253,2,16,-1000
254,2,23,-500
255,2,23,300
256,2,26,300
257,2,11,-1000
258,2,14,-1000
259,2,13,-500
260,2,29,-100
261,2,38,1500
262,2,18,-1000
263,2,11,-1000
264,2,20,-500
265,2,13,-500
266,2,13,-1000
267,2,16,-500
268,2,53,1200
269,2,24,-100
270,2,38,800
271,2,25,300
272,2,12,-500
273,2,8,-500
274,2,15,-500
275,2,21,-800
276,2,26,-800
277,2,26,-400
278,2,83,3800
279,2,23,-300
280,2,32,400
281,2,15,-1000
282,2,22,-100
283,2,9,-1000
284,2,8,-500
285,2,38,700
286,2,10,-1000
287,2,4,-1000
288,2,58,2300
289,2,14,-500
290,2,58,1400
291,2,36,600
292,2,36,200
293,2,27,-100
294,2,23,-100
295,2,51,2100
296,2,21,-300
297,2,20,-300
298,2,21,-100
299,2,29,900
300,2,23,-600
301,2,9,-500
302,2,23,-100
303,2,14,-1000
304,2,14,-1000
305,2,4,-1000
306,2,23,-800
307,2,20,300
308,2,16,-1000
309,2,13,-500
310,2,9,-500
311,2,17,-1000
312,2,7,-500
313,2,27,300
314,2,37,900
315,2,19,-500
316,2,20,-600
317,2,26,300
318,2,46,1100
319,2,26,-400
320,2,19,-300
321,2,27,-100
322,2,8,-500
323,2,11,-500
324,2,26,-100
325,2,2,-500
326,2,53,2100
327,2,21,100
328,2,63,2500
329,2,27,100
330,2,10,-1000
331,2,21,-800
332,2,20,-500
333,2,18,-300
334,2,25,100
335,2,47,600
336,2,51,1900
337,2,17,-800
338,2,23,-600
339,2,33,200
340,2,42,1500
341,2,21,-500
342,2,15,-800
343,2,43,400
344,2,22,-600
345,2,10,-1000
